cluster,min_income,sum_income,mean_income,max_income,noof_trans,avg_income_per_trans
8,5,181114,8.51337315,156,7702,23
1,5,211198,11.48972297,158,2238,94
4,5,538240,12.89335716,158,3357,160
9,5,56655,14.29,158,300,188
6,5,1091886,17.06145625,158,2994,364
2,5,934898,19.76578498,158,2344,398
0,5,2021944,21.21960784,158,2550,792
5,5,2096740,24.82716606,158,2216,946
3,5,2846399,24.26438053,158,2712,1049
7,5,1088785,28.9273743,158,537,2027
